Tanggal,Jam,Magnitude,Kedalaman,Wilayah,Potensi,Lintang,Bujur
21 Mei 2026,06:12:56 WIB,5.0,137 km,231 km BaratLaut TANIMBAR,Tidak berpotensi tsunami,-6.06,130.47
20 Mei 2026,17:28:50 WIB,5.2,12 km,65 km TimurLaut KOTA-BIMA-NTB,Tidak berpotensi tsunami,-8.09,119.21
15 Mei 2026,00:53:15 WIB,6.7,163 km,224 km BaratLaut TANIMBAR,Tidak berpotensi tsunami,-6.09,130.56
12 Mei 2026,15:54:00 WIB,5.3,89 km,32 km Tenggara PULAUKARATUNG-SULUT,Tidak berpotensi tsunami,4.64,127.35
05 Mei 2026,13:44:50 WIB,6.0,10 km,37 km BaratDaya WANOKAKA-NTT,Tidak berpotensi tsunami,-10.11,119.3
05 Mei 2026,09:38:50 WIB,5.3,188 km,210 km BaratLaut TANIMBAR,Tidak berpotensi tsunami,-6.41,130.23
02 Mei 2026,17:27:11 WIB,5.6,114 km,201 km BaratLaut MALUKUTENGGARA,Tidak berpotensi tsunami,-5.64,130.92
02 Mei 2026,01:52:47 WIB,5.1,199 km,107 km TimurLaut MALUKUBRTDAYA,Tidak berpotensi tsunami,-7.52,128.53
01 Mei 2026,16:24:24 WIB,5.1,12 km,33 km TimurLaut RANSIKI-PAPUABRT,Tidak berpotensi tsunami,-1.31,134.4
25 Apr 2026,16:07:07 WIB,5.2,119 km,205 km Tenggara SERAMBAGIANTIMUR-MALUKU,Tidak berpotensi tsunami,-4.95,130.63
24 Apr 2026,11:45:19 WIB,5.0,12 km,114 km BaratLaut TERNATE-MALUT,Tidak berpotensi tsunami,1.18,126.42
24 Apr 2026,05:13:25 WIB,5.1,143 km,184 km TimurLaut MALUKUBRTDAYA,Tidak berpotensi tsunami,-7.42,129.28
21 Apr 2026,10:17:08 WIB,6.0,31 km,67 km BaratLaut TIMORTENGAHUT-NTT,Tidak berpotensi tsunami,-8.99,124.2
21 Apr 2026,01:47:06 WIB,5.4,10 km,57 km Tenggara SARMI-PAPUA,Tidak berpotensi tsunami,-2.03,139.25
20 Apr 2026,12:19:37 WIB,5.1,173 km,36 km BaratLaut ALOR-NTT,Tidak berpotensi tsunami,-8.01,124.38
